26 1001
Gros Valerie
CNRS LSCE, Orme des Merisiers, Bat 701, 91 191 Gif sur Yvette, France, valerie.gros@lsce.ipsl.fr
"Ozone instrument; carbon monoxide instrument; Nitrogen oxides instrument; LHVP station"
MEGAPOLI winter campaign
1 1
2010 01 01 2010 10 27
5 min
Time (hours since 2010-01-01 00:00:00 +1:00 )
4
1. 1. 1. 1.
9999 9999 9999 9999
ozone O3  (ppbv)
CO (ppbv)
NO (ppbv)
NOx (ppbv)
9
Ozone was measured with a Thermo-Environnment 49C instrument
Carbon monoxide was measured with a Thermo-Environment 48i-TL instrument
Nitrogen monoxide and nitrogen oxides were measured with a Environment SA AC31M  instrument from LHVP
Please contact me for more details on the instruments
 -------------------------------------------------------------------------------------------
These data were generated or collected within the framework of  FP7/ MEGAPOLI and of the national ANR MEGAPOLI-PARIS 
The user agrees with the MEGAPOLI DATA EXCHANGE PROTOCOL
 -------------------------------------------------------------------------------------------
Time (UTC)	O3 (ppb)	CO (ppb)	NO (ppb)	NOx (ppb)
32,108	17,0	268,3	2,1	22,6
32,111	16,5	268,2	2,2	22,6
32,115	16,2	270,1	2,1	23,0
32,118	15,0	269,5	2,1	23,6
32,122	15,3	287,5	2,5	24,4
32,125	16,3	271,1	2,7	24,8
32,128	15,5	9999	2,1	24,5
32,132	14,8	9999	2,5	24,3
32,135	15,6	9999	3,0	25,0
32,139	17,1	9999	1,6	23,9
32,142	18,6	229,5	2,1	23,0
32,146	18,1	229,7	2,5	22,1
32,149	17,5	231,1	2,1	21,7
32,153	17,9	259,6	2,2	21,6
32,156	17,5	268,7	1,6	22,2
32,160	18,0	254,1	2,4	22,1
32,163	18,0	255,1	2,1	22,5
32,167	21,2	256,6	2,1	20,5
32,170	21,6	258,0	1,1	19,5
32,174	21,6	240,2	1,3	18,7
32,177	19,0	246,9	1,2	18,8
32,181	20,9	249,0	1,4	18,7
32,184	21,2	245,3	1,5	18,3
32,188	20,9	247,4	1,8	18,5
32,191	21,7	250,2	1,4	17,4
32,194	21,7	239,8	1,8	17,8
32,198	21,0	250,8	1,5	18,0
32,201	19,5	261,3	2,0	18,9
32,205	19,9	255,1	1,9	19,5
32,208	20,3	250,2	1,6	19,5
32,212	20,0	240,4	2,2	20,4
32,215	16,8	249,4	1,6	21,9
32,219	16,3	248,6	2,4	24,3
32,222	15,9	245,9	2,6	25,6
32,226	14,8	246,3	2,6	26,6
32,229	15,3	243,4	2,5	26,9
32,233	14,6	261,0	2,7	27,5
32,236	15,3	250,0	3,0	27,9
32,240	15,8	237,9	2,9	27,3
32,243	14,6	258,0	2,7	27,4
32,247	13,4	268,7	2,5	28,2
32,250	14,8	255,3	3,6	30,0
32,253	14,3	253,5	3,1	30,1
32,257	13,7	266,9	3,6	30,7
32,260	13,9	255,1	3,5	30,8
32,264	12,5	260,5	3,6	31,4
32,267	12,8	274,2	4,4	32,4
32,271	12,3	264,6	3,1	32,7
32,274	12,3	259,4	4,4	34,1
32,278	11,8	265,8	4,5	34,5
32,281	9,6	312,3	5,2	36,6
32,285	8,5	303,3	6,8	41,4
32,288	11,3	297,3	6,1	41,2
32,292	11,4	277,7	5,5	39,9
32,295	9,9	9999	6,1	39,7
32,299	8,9	9999	5,8	41,2
32,302	9,8	9999	6,4	41,6
32,306	8,7	9999	6,4	42,3
32,309	7,7	326,0	9,8	48,4
32,313	10,8	292,6	6,1	40,5
32,316	10,3	294,9	6,0	40,2
32,319	12,1	286,9	6,4	40,3
32,323	10,3	288,7	5,8	39,4
32,326	9,0	324,3	7,0	43,2
32,330	10,4	324,4	7,4	43,7
32,333	11,0	312,3	8,0	42,7
32,337	10,8	317,0	8,2	43,1
32,340	12,7	326,8	8,4	42,0
32,344	12,4	319,9	8,4	41,5
32,347	13,8	301,8	8,3	40,7
32,351	14,4	295,9	8,0	39,7
32,354	15,2	299,8	8,0	38,9
32,358	15,4	305,3	8,4	38,4
32,361	15,9	284,0	9,5	38,1
32,365	14,3	293,0	10,4	39,6
32,368	12,1	281,2	11,8	41,1
32,372	11,7	270,7	10,9	42,3
32,375	13,8	257,4	9,7	40,9
32,378	12,6	259,0	8,8	39,7
32,382	13,1	279,9	9,7	40,5
32,385	13,7	273,8	11,5	41,7
32,389	13,5	274,4	11,9	42,7
32,392	15,7	277,6	12,9	42,6
32,396	13,7	264,8	11,7	40,5
32,399	8,4	275,2	11,6	43,4
32,403	12,0	256,6	10,0	43,7
32,406	19,9	223,4	5,0	30,6
32,410	18,2	215,8	4,8	27,4
32,413	17,0	233,8	6,3	30,0
32,417	14,2	246,8	9,2	35,6
32,420	13,1	268,4	13,4	42,1
32,424	11,4	296,1	14,4	45,3
32,427	9,6	300,2	14,0	46,7
32,431	9,5	311,9	14,8	47,6
32,434	8,7	300,4	15,1	50,5
32,438	10,3	277,9	14,8	49,8
32,441	10,0	281,5	14,0	49,3
32,444	11,3	279,8	13,6	48,2
32,448	11,3	276,7	13,7	46,9
32,451	14,4	273,0	14,4	46,3
32,455	14,6	296,3	16,0	47,1
32,458	20,0	254,1	14,2	39,1
32,462	20,1	9999	13,9	37,7
32,465	16,4	9999	13,4	37,1
32,469	15,7	9999	14,8	40,0
32,472	16,5	9999	14,3	40,0
32,476	17,1	244,3	12,4	38,1
32,479	18,5	241,0	10,9	36,1
32,483	16,8	240,0	10,9	35,4
32,486	17,0	242,4	10,6	35,6
32,490	18,6	235,9	9,7	34,7
32,493	22,2	219,0	7,7	29,7
32,497	16,9	253,7	7,9	30,7
32,500	20,2	257,8	8,7	32,0
32,503	18,7	235,2	7,7	29,7
32,507	19,5	270,1	8,4	31,6
32,510	22,7	222,9	7,9	29,8
32,514	22,0	235,6	7,1	28,2
32,517	21,0	240,6	7,8	28,0
32,521	22,9	230,1	6,6	27,8
32,524	22,5	223,6	6,6	26,8
32,528	23,5	218,0	6,8	26,1
32,531	22,9	232,0	6,8	25,4
32,535	22,7	242,0	6,5	26,7
32,538	20,9	259,0	7,1	28,4
32,542	24,7	232,1	7,7	27,4
32,545	25,8	225,4	6,4	25,6
32,549	23,3	238,9	6,8	26,0
32,552	25,6	219,1	6,6	24,8
32,556	23,8	232,1	6,4	24,5
32,559	24,1	232,4	6,5	24,6
32,563	24,9	230,7	6,1	24,7
32,566	25,1	232,6	6,3	24,7
32,569	27,6	224,6	6,0	23,1
32,573	25,6	227,3	6,6	22,5
32,576	28,0	224,4	6,3	21,4
32,580	28,4	238,2	5,2	21,1
32,583	25,4	237,7	6,1	20,6
32,587	26,1	241,0	6,3	22,5
32,590	25,3	238,8	6,0	23,2
32,594	24,4	255,5	8,0	27,5
32,597	26,8	225,8	6,8	25,1
32,601	25,1	237,5	6,4	23,7
32,604	27,0	223,8	5,8	23,3
32,608	25,2	227,8	4,5	22,3
32,611	27,2	241,0	5,1	23,0
32,615	28,8	230,1	4,0	21,9
32,618	27,4	229,9	3,9	20,6
32,622	25,8	239,4	3,9	21,5
32,625	26,1	235,7	3,9	22,6
32,628	26,1	9999	4,0	22,2
32,632	26,6	9999	4,4	22,6
32,635	26,8	9999	4,1	21,6
32,639	25,1	9999	3,9	22,0
32,642	22,3	246,3	6,6	29,6
32,646	20,4	260,7	6,3	29,6
32,649	21,0	257,4	5,6	29,4
32,653	21,9	256,8	5,7	29,1
32,656	24,0	255,6	5,0	27,9
32,660	24,9	228,5	4,8	26,5
32,663	23,1	241,2	4,5	25,6
32,667	21,1	249,2	4,3	26,8
32,670	20,1	253,7	4,3	27,6
32,674	20,8	245,7	4,1	28,4
32,677	20,2	253,5	4,2	29,0
32,681	20,9	245,1	3,8	27,7
32,684	19,2	258,4	3,8	27,9
32,688	19,4	253,5	3,4	28,2
32,691	17,6	262,1	4,2	30,2
32,694	18,0	263,9	3,0	30,3
32,698	14,8	291,0	4,2	31,7
32,701	12,8	294,9	4,1	34,6
32,705	11,6	295,1	4,3	35,7
32,708	9,0	302,5	5,7	39,5
32,712	7,9	320,3	11,5	52,3
32,715	7,3	355,1	8,2	48,5
32,719	4,3	363,1	10,7	54,0
32,722	4,0	385,3	15,5	61,7
32,726	4,6	372,0	11,6	57,9
32,729	4,0	358,0	11,0	56,9
32,733	4,0	352,9	11,2	56,5
32,736	3,5	364,3	12,1	57,5
32,740	3,0	356,4	11,9	58,0
32,743	3,1	371,3	11,1	56,8
32,747	2,7	377,9	11,2	57,6
32,750	2,5	378,9	12,2	59,0
32,753	2,2	404,5	14,7	61,9
32,757	2,5	398,0	16,5	63,8
32,760	2,6	395,9	17,7	65,0
32,764	2,1	398,8	19,3	66,3
32,767	2,0	430,5	19,3	66,8
32,771	1,8	444,5	19,8	68,0
32,774	2,2	466,4	21,5	69,5
32,778	2,1	465,6	23,0	71,9
32,781	2,4	437,7	21,4	68,5
32,785	2,4	419,7	18,8	65,4
32,788	2,5	417,9	17,5	63,7
32,792	2,2	426,6	16,7	63,7
32,795	2,6	9999	15,7	60,4
32,799	2,5	9999	14,5	59,2
32,802	2,3	9999	16,7	61,6
32,806	2,5	9999	18,6	64,5
32,809	2,2	453,7	21,6	68,6
32,813	1,9	447,9	22,4	69,1
32,816	2,3	444,9	22,9	69,0
32,819	2,1	424,4	22,3	68,0
32,823	2,1	429,1	21,7	67,3
32,826	3,1	430,6	21,1	66,4
32,830	4,5	404,5	10,6	51,4
32,833	4,7	401,7	9,0	49,4
32,837	3,3	401,2	9,9	50,6
32,840	2,6	448,0	19,0	64,6
32,844	2,5	448,2	19,5	65,5
32,847	2,6	468,3	21,7	67,4
32,851	2,7	460,7	21,2	68,0
32,854	2,8	451,4	22,0	68,6
32,858	2,2	458,6	21,8	67,8
32,861	3,4	431,4	15,4	59,9
32,865	3,0	417,8	15,7	59,0
32,868	3,1	414,8	13,9	57,5
32,872	3,1	433,8	12,9	56,6
32,875	3,0	438,1	13,7	56,8
32,878	3,3	411,2	13,8	56,6
32,882	4,1	410,3	12,0	54,2
32,885	5,8	372,5	7,6	46,0
32,889	5,3	387,1	7,4	45,0
32,892	6,2	383,2	6,9	43,8
32,896	4,9	407,6	6,7	43,7
32,899	3,4	441,8	14,1	53,5
32,903	2,8	469,1	34,0	77,1
32,906	2,8	500,8	37,5	79,5
32,910	2,6	508,6	41,7	85,0
32,913	2,5	484,6	40,3	84,5
32,917	2,7	487,1	40,1	82,6
32,920	2,7	470,7	31,3	73,2
32,924	2,5	476,6	24,5	65,1
32,927	2,8	469,9	23,5	64,4
32,931	4,5	434,0	18,4	55,3
32,934	3,1	441,8	18,5	55,4
32,938	2,8	428,1	17,8	56,3
32,941	2,2	429,5	19,7	58,9
32,944	2,0	446,5	22,1	61,5
32,948	2,3	423,4	22,3	61,9
32,951	2,5	432,8	21,0	60,6
32,955	2,3	435,2	21,1	60,0
32,958	2,3	429,7	20,8	60,3
32,962	2,4	9999	20,7	59,3
32,965	3,5	9999	18,8	57,4
32,969	3,0	9999	15,8	53,7
32,972	3,2	9999	15,3	51,7
32,976	2,5	373,1	18,8	55,8
32,979	3,3	371,3	17,3	54,6
32,983	3,1	357,9	16,5	52,9
32,986	4,7	342,4	12,3	46,4
32,990	4,4	344,7	10,9	43,6
32,993	7,3	333,2	8,1	39,4
32,997	7,8	312,7	5,6	35,4
33,000	8,0	314,8	4,6	33,9
33,003	9,0	304,9	4,2	32,0
33,007	9,2	303,5	3,7	30,9
33,010	8,8	326,0	3,5	30,6
33,014	7,5	295,5	4,4	31,8
33,017	3,0	291,4	8,8	42,8
33,021	2,5	313,9	11,2	46,2
33,024	2,9	297,3	12,2	47,4
33,028	2,9	295,1	12,0	46,7
33,031	3,0	297,8	11,2	46,6
33,035	2,8	289,3	11,4	46,0
33,038	3,4	278,7	10,5	44,7
33,042	3,2	301,2	9,0	42,3
33,045	3,6	280,3	8,3	41,6
33,049	3,7	277,3	8,1	40,0
33,052	3,3	276,7	8,1	40,6
33,056	3,7	285,2	7,7	39,6
33,059	3,8	276,8	7,5	39,5
33,063	6,5	291,8	6,4	38,0
33,066	12,9	272,0	3,0	26,4
33,069	13,2	262,3	2,6	23,2
33,073	14,4	271,7	2,4	22,4
33,076	15,5	258,0	2,3	21,1
33,080	15,0	256,6	2,4	19,6
33,083	12,2	276,6	2,2	20,1
33,087	5,7	283,4	3,7	27,8
33,090	4,0	286,7	6,0	32,6
33,094	3,8	288,9	6,4	34,8
33,097	4,4	280,7	6,5	36,1
33,101	6,4	282,8	6,2	35,1
33,104	7,5	267,6	5,4	33,3
33,108	7,6	265,6	4,6	31,1
33,111	7,9	277,9	4,4	30,2
33,115	6,4	271,9	3,7	30,0
33,118	7,2	271,9	3,1	30,2
33,122	7,4	267,4	4,1	30,2
33,125	7,4	254,7	3,6	29,5
33,128	7,7	9999	3,1	28,9
33,132	7,2	9999	3,4	29,2
33,135	8,7	9999	3,9	28,8
33,139	8,3	9999	3,0	27,5
33,142	8,0	258,2	3,4	27,9
33,146	7,0	249,2	3,5	29,3
33,149	6,9	250,3	3,6	30,3
33,153	7,5	242,2	3,4	30,3
33,156	7,9	241,0	3,9	30,7
33,160	9,8	236,1	4,4	30,5
33,163	9,2	232,0	4,6	29,6
33,167	8,7	243,7	3,9	29,8
33,170	8,9	235,3	3,5	30,0
33,174	10,1	229,9	3,4	29,4
33,177	11,3	236,5	3,7	28,9
33,181	10,6	223,8	3,0	27,6
33,184	10,5	229,1	3,2	27,4
33,188	10,5	234,2	2,9	27,9
33,191	11,6	224,6	2,9	27,2
33,194	11,2	233,6	3,2	27,5
33,198	9,5	239,6	3,9	28,0
33,201	8,6	240,4	3,7	29,9
33,205	10,2	237,9	3,2	30,4
33,208	8,2	242,4	4,1	30,7
33,212	6,4	245,3	4,6	31,5
33,215	5,1	252,5	5,0	34,0
33,219	6,3	262,5	6,0	35,8
33,222	5,1	251,3	6,4	37,9
33,226	3,6	254,5	8,9	41,1
33,229	2,6	260,9	13,5	49,8
33,233	3,4	265,0	14,6	51,3
33,236	3,5	272,9	14,8	51,6
33,240	3,4	286,1	15,9	53,0
33,243	3,2	283,8	15,1	52,0
33,247	2,8	281,0	15,5	53,9
33,250	2,8	292,0	15,8	54,2
33,253	2,8	285,9	15,7	55,1
33,257	2,6	287,3	18,0	57,1
33,260	2,6	303,3	19,2	58,9
33,264	2,3	298,3	20,2	60,4
33,267	2,3	318,9	21,6	62,6
33,271	2,0	327,9	27,0	70,5
33,274	2,0	328,0	29,8	73,5
33,278	2,0	328,5	31,4	75,9
33,281	2,3	337,3	33,3	78,2
33,285	3,3	342,0	26,7	70,2
33,288	3,5	312,3	17,8	59,3
33,292	2,3	339,9	19,1	60,8
33,295	2,3	9999	26,7	71,6
33,299	4,3	9999	25,5	69,4
33,302	5,2	9999	20,3	61,5
33,306	5,4	9999	17,9	59,0
33,309	5,4	326,8	17,1	57,4
33,313	5,6	326,4	17,4	57,7
33,316	5,3	335,9	17,2	56,4
33,319	4,1	381,8	20,3	61,2
33,323	3,6	383,6	21,9	63,5
33,326	4,4	381,8	22,5	64,6
33,330	5,1	389,3	22,4	64,5
33,333	5,1	359,4	21,3	61,4
33,337	4,7	369,3	23,1	63,7
33,340	5,5	368,0	23,8	63,6
33,344	5,7	358,0	22,3	62,3
33,347	5,8	388,9	21,0	61,5
33,351	5,0	371,5	22,5	64,6
33,354	5,0	387,7	23,6	65,2
33,358	5,7	373,5	22,9	64,2
33,361	5,1	367,0	26,4	68,1
33,365	5,4	345,1	26,4	67,9
33,368	6,2	340,6	21,6	61,6
33,372	8,0	315,3	17,8	56,8
33,375	8,7	312,7	15,9	53,1
33,378	10,4	291,0	13,6	47,8
33,382	10,4	300,8	12,7	45,5
33,385	10,1	306,2	13,1	46,0
33,389	11,0	282,6	12,2	44,2
33,392	10,5	285,9	11,9	42,9
33,396	10,5	285,7	12,2	43,2
33,399	10,7	276,7	11,8	42,6
33,403	10,4	283,6	11,7	42,6
33,406	11,3	276,2	11,7	42,9
33,410	11,2	284,0	12,0	42,9
33,413	11,3	288,7	11,8	42,4
33,417	11,6	283,6	11,2	41,9
33,420	11,7	282,8	11,7	41,6
33,424	12,2	281,4	11,4	40,7
33,427	13,6	265,8	10,9	39,4
33,431	13,8	267,6	10,5	38,6
33,434	14,6	264,5	9,6	37,2
33,438	15,6	256,6	9,8	35,7
33,441	16,4	254,7	8,8	33,8
33,444	16,2	256,6	7,9	32,8
33,448	16,3	253,3	7,3	32,2
33,451	17,6	242,8	6,8	31,0
33,455	18,1	236,9	6,7	30,1
33,458	17,6	241,0	6,5	30,2
33,462	18,2	9999	6,4	30,8
33,465	18,9	9999	6,7	30,2
33,469	18,4	9999	6,4	29,6
33,472	19,0	9999	6,9	30,1
33,476	18,7	258,4	7,1	30,0
33,479	19,3	251,2	7,2	29,5
33,483	19,6	257,4	6,7	28,6
33,486	19,7	248,2	6,2	27,7
33,490	19,0	254,7	6,3	28,7
33,493	19,9	247,1	6,5	28,4
33,497	20,8	247,5	6,8	28,0
33,500	22,0	240,0	6,1	27,0
33,503	24,3	234,4	5,2	25,1
33,507	23,8	232,0	6,2	23,5
33,510	23,1	226,4	5,4	23,4
33,514	22,9	235,0	4,9	23,6
33,517	23,1	236,7	4,6	23,6
33,521	23,0	231,1	4,7	23,4
33,524	21,7	232,0	5,1	23,9
33,528	21,9	241,6	4,9	24,6
33,531	21,4	265,6	5,4	24,5
33,535	22,5	232,6	5,7	25,0
33,538	20,8	244,9	5,4	24,6
33,542	19,9	253,1	5,2	26,0
33,545	20,5	241,0	5,3	26,9
33,549	19,9	254,7	5,7	27,3
33,552	18,0	261,4	6,5	28,6
33,556	19,4	256,2	6,3	29,0
33,559	20,9	244,3	6,5	28,4
33,563	20,7	247,9	6,1	27,1
33,566	21,2	253,1	6,0	27,8
33,569	20,8	246,9	6,1	27,5
33,573	21,3	251,7	6,2	27,0
33,576	20,8	250,4	6,0	26,8
33,580	20,3	261,5	6,1	26,8
33,583	18,0	272,3	6,6	29,5
33,587	20,5	272,0	6,6	29,5
33,590	20,6	269,1	6,4	28,6
33,594	20,3	270,9	6,6	27,6
33,597	20,5	271,1	6,2	27,1
33,601	19,1	279,5	6,4	27,8
33,604	21,8	274,0	6,4	27,8
33,608	20,0	271,7	6,4	27,4
33,611	20,1	277,7	6,7	27,6
33,615	19,4	276,4	6,7	27,5
33,618	18,3	271,3	5,9	28,4
33,622	19,2	270,5	5,7	28,7
33,625	21,0	260,5	5,5	27,0
33,628	20,2	9999	5,1	26,4
33,632	17,8	9999	6,1	27,4
33,635	20,0	9999	5,7	28,7
33,639	20,7	9999	4,9	28,3
33,642	21,2	240,2	4,6	27,1
33,646	21,7	239,8	4,5	26,9
33,649	22,5	231,2	4,3	26,0
33,653	23,2	239,5	4,2	25,3
33,656	22,7	238,6	3,6	23,8
33,660	23,3	240,2	3,7	23,6
33,663	23,4	238,3	3,5	23,4
33,667	23,1	235,5	3,3	22,8
33,670	22,2	242,0	3,1	22,8
33,674	21,1	248,4	3,0	23,1
33,677	20,0	254,1	2,8	24,1
33,681	21,5	254,1	3,5	25,3
33,684	20,2	257,6	3,5	24,9
33,688	20,2	262,7	4,3	26,0
33,691	21,5	248,2	3,7	25,7
33,694	19,5	264,1	4,2	25,9
33,698	18,1	281,3	3,8	26,6
33,701	19,2	258,4	3,9	27,4
33,705	18,8	275,6	4,0	27,6
33,708	18,7	271,1	4,8	28,4
33,712	19,1	268,4	4,1	28,9
33,715	19,6	262,7	3,9	28,1
33,719	19,4	264,5	3,7	27,6
33,722	19,5	264,9	3,9	27,2
33,726	19,7	264,8	3,8	27,1
33,729	19,9	270,1	3,8	26,9
33,733	19,1	265,1	3,6	26,9
33,736	18,7	272,2	3,4	27,2
33,740	20,3	262,5	3,2	26,8
33,743	20,5	254,7	3,0	26,3
33,747	20,6	251,2	2,8	25,8
33,750	21,1	245,7	3,0	25,7
33,753	20,1	260,3	3,4	25,8
33,757	22,1	245,1	2,6	24,6
33,760	20,2	250,2	2,9	24,2
33,764	20,2	263,3	2,9	25,2
33,767	19,6	267,0	2,4	25,9
33,771	19,9	265,2	3,4	26,1
33,774	19,7	278,3	3,9	26,6
33,778	20,5	273,1	3,3	26,3
33,781	20,8	270,5	3,3	26,1
33,785	21,2	265,8	3,6	25,6
33,788	22,0	260,3	2,8	25,0
33,792	22,7	251,0	3,2	23,9
33,795	21,8	9999	3,0	23,3
33,799	23,0	9999	3,0	23,0
33,802	22,5	9999	2,6	22,6
33,806	21,1	9999	3,0	23,2
33,809	20,4	248,2	2,3	23,9
33,813	20,9	235,7	2,7	24,2
33,816	21,5	236,3	2,7	24,1
33,819	22,0	231,8	2,5	23,7
33,823	21,5	237,1	2,3	23,5
33,826	22,0	238,9	2,8	23,9
33,830	22,5	237,3	2,6	22,7
33,833	22,9	236,9	1,9	22,0
33,837	21,5	240,0	1,9	22,2
33,840	22,2	238,7	1,9	22,1
33,844	23,4	243,5	2,5	22,7
33,847	24,7	225,0	2,0	21,4
33,851	25,0	221,3	2,2	20,9
33,854	25,7	218,8	2,2	19,6
33,858	27,5	226,2	2,4	18,4
33,861	28,4	212,1	1,6	16,4
33,865	28,4	213,9	1,7	15,6
33,868	28,6	212,1	1,5	15,1
33,872	26,4	226,4	1,6	14,8
33,875	27,3	207,8	1,0	15,3
33,878	27,9	217,2	1,6	15,3
33,882	28,0	217,0	1,8	14,9
33,885	28,3	220,7	1,7	14,4
33,889	27,2	225,2	1,6	14,9
33,892	28,7	224,1	1,1	15,2
33,896	28,6	227,0	1,1	14,8
33,899	28,9	218,2	1,3	14,3
33,903	28,4	218,8	0,8	13,9
33,906	28,8	220,7	0,9	13,9
33,910	28,6	217,4	1,0	13,9
33,913	28,4	220,1	1,8	14,2
33,917	29,1	228,9	1,7	14,4
33,920	30,1	221,3	2,0	13,4
33,924	29,1	220,9	1,4	13,0
33,927	28,3	248,2	1,5	13,7
33,931	29,6	224,2	1,6	13,5
33,934	28,7	226,5	1,8	13,3
33,938	28,3	227,0	1,3	13,1
33,941	28,5	236,7	1,5	13,7
33,944	29,4	220,9	1,1	13,6
33,948	29,7	229,7	1,4	13,5
33,951	30,5	224,8	1,6	12,8
33,955	31,0	213,5	0,5	11,8
33,958	30,0	223,3	1,3	11,8
33,962	30,0	9999	1,3	11,7
33,965	30,2	9999	1,1	11,4
33,969	30,1	9999	1,2	11,4
33,972	30,8	9999	0,8	11,4
33,976	29,7	182,4	1,1	10,8
33,979	30,7	183,7	1,0	11,2
33,983	30,2	188,4	1,7	10,6
33,986	30,0	194,4	1,2	10,6
33,990	30,1	179,5	1,1	10,5
33,993	30,1	179,5	0,7	10,4
33,997	30,0	178,7	1,0	10,9
34,000	29,4	190,9	1,3	11,1
34,003	30,1	173,6	0,9	11,2
34,007	30,1	182,0	1,0	10,7
34,010	29,1	190,0	0,5	10,6
34,014	30,1	176,0	1,5	10,4
34,017	31,0	170,1	0,9	10,2
34,021	31,2	180,8	0,7	9,0
34,024	31,1	166,2	0,2	8,7
34,028	30,8	171,7	1,3	8,4
34,031	32,0	169,9	1,1	8,4
34,035	31,2	166,4	1,2	7,9
34,038	31,9	173,2	0,9	8,1
34,042	31,6	179,5	1,0	7,9
34,045	31,1	172,3	1,7	8,0
34,049	31,1	168,0	1,6	8,3
34,052	31,9	166,2	1,3	7,5
34,056	32,2	190,3	1,0	7,2
34,059	31,2	184,8	1,4	7,3
34,063	31,2	171,3	1,4	7,3
34,066	31,4	172,3	0,9	7,4
34,069	31,5	178,9	1,7	7,2
34,073	31,2	184,2	0,4	8,0
34,076	31,5	179,1	1,4	7,6
34,080	30,9	191,7	1,1	7,7
34,083	30,6	191,8	1,4	7,7
34,087	30,9	186,3	0,8	8,2
34,090	31,8	193,2	1,3	8,0
34,094	32,0	175,2	0,8	7,5
34,097	31,1	179,3	1,5	7,4
34,101	30,9	183,8	0,9	8,5
34,104	31,0	190,4	0,9	8,3
34,108	31,3	175,0	1,3	7,9
34,111	30,6	176,2	0,9	7,7
34,115	29,8	193,2	1,1	8,0
34,118	30,3	189,3	1,1	8,3
34,122	30,1	180,7	0,6	8,7
34,125	30,8	182,2	1,0	7,7
34,128	31,4	9999	0,7	7,5
34,132	30,6	9999	1,3	7,8
34,135	30,8	9999	1,2	7,5
34,139	31,5	9999	0,6	7,5
34,142	31,6	178,9	0,6	7,3
34,146	31,3	182,2	1,2	7,4
34,149	31,6	186,3	1,7	7,2
34,153	31,8	183,4	0,4	7,3
34,156	31,7	194,0	0,9	7,3
34,160	31,9	197,7	0,8	7,1
34,163	32,0	183,4	1,1	7,1
34,167	30,8	183,4	0,9	7,6
34,170	31,7	190,5	1,1	7,7
34,174	31,3	188,9	1,1	8,1
34,177	31,1	189,3	1,1	8,0
34,181	30,4	188,7	1,2	7,9
34,184	30,4	200,6	1,2	8,3
34,188	29,5	197,5	1,1	8,9
34,191	30,3	186,9	1,3	8,9
34,194	28,8	200,6	1,2	9,5
34,198	26,9	207,8	1,4	10,7
34,201	28,1	194,6	2,0	12,0
34,205	27,5	190,8	1,6	12,4
34,208	26,4	216,4	1,9	13,8
34,212	27,0	205,9	1,7	14,1
34,215	26,2	198,5	2,6	14,5
34,219	27,2	204,7	1,7	15,0
34,222	27,5	205,1	1,4	14,3
34,226	25,1	209,2	1,9	15,5
34,229	25,2	215,4	1,6	16,4
34,233	26,3	209,6	1,7	16,3
34,236	25,0	202,8	2,0	16,8
34,240	25,4	214,5	1,9	17,5
34,243	24,7	225,2	1,7	18,0
34,247	24,4	221,1	1,9	18,1
34,250	23,9	201,0	2,2	18,9
34,253	22,8	206,9	2,2	19,3
34,257	21,7	216,0	2,2	20,7
34,260	20,4	220,3	2,5	22,3
34,264	20,6	231,2	2,0	23,7
34,267	20,0	235,7	2,4	24,4
34,271	20,3	222,1	3,0	26,1
34,274	20,7	232,6	3,1	26,7
34,278	21,3	236,1	2,9	25,4
34,281	20,1	227,8	2,8	24,9
34,285	19,2	230,5	3,0	26,2
34,288	19,3	256,1	2,6	26,6
34,292	20,1	245,7	2,9	26,7
34,295	19,9	236,4	3,6	26,7
34,299	18,2	9999	3,2	27,1
34,302	18,9	9999	3,3	28,0
34,306	18,7	9999	3,0	28,3
34,309	19,4	238,3	3,2	29,1
34,313	17,8	247,3	4,0	29,3
34,316	20,1	239,2	4,5	29,9
34,319	16,0	246,7	4,2	31,5
34,323	16,5	270,7	5,2	33,4
34,326	18,5	251,8	5,3	32,9
34,330	18,0	247,3	4,1	31,5
34,333	16,5	261,3	5,5	32,5
34,337	18,6	271,3	5,5	31,9
34,340	17,6	276,5	4,2	31,4
34,344	14,7	291,2	5,0	32,6
34,347	15,6	278,5	6,4	36,9
34,351	15,5	266,6	5,6	36,0
34,354	16,3	261,7	5,7	35,6
34,358	13,9	268,1	6,1	35,9
34,361	15,0	263,3	5,7	36,1
34,365	15,1	248,3	5,8	36,8
34,368	14,6	251,8	6,3	35,9
34,372	14,5	282,6	6,3	37,2
34,375	14,9	251,9	7,7	38,3
34,378	16,0	255,7	7,8	38,1
34,382	17,3	251,3	7,0	35,9
34,385	18,3	231,5	6,5	34,0
34,389	20,1	219,2	6,8	31,9
34,392	18,4	240,0	5,6	30,9
34,396	17,6	256,4	6,0	31,6
34,399	20,6	247,1	6,0	30,3
34,403	24,0	205,1	4,7	23,2
34,406	19,7	222,4	4,1	23,8
34,410	21,6	220,9	4,6	25,0
34,413	21,5	231,7	4,5	26,2
34,417	24,9	213,5	3,6	24,8
34,420	25,2	203,7	3,6	23,2
34,424	22,7	217,9	4,2	23,0
34,427	20,6	241,4	4,1	24,6
34,431	21,6	244,5	5,5	27,9
34,434	24,6	231,7	5,8	28,1
34,438	25,4	218,2	5,8	25,0
34,441	23,3	220,3	5,2	24,5
34,444	23,7	233,4	5,5	26,4
34,448	26,3	212,1	5,6	24,7
34,451	25,7	227,5	5,2	22,7
